location_id,city,state,area,location_type,latitude,longitude,pincode
3db20bf7-9a12-4ec3-a10b-d0b44db05cb1,Davarpar,Uttar Pradesh,Andheri West Residential Colony,residential,26.7142,83.3698,273016
6117ba7e-5dfb-44a0-a425-b11cd0f2f028,Naurangpura,Rajasthan,Koramangala 5th Block Market,market,26.9805,75.7243,303003
f77c2362-fa09-4024-9ad2-7cf845b2b17e,Jakhirpur,West Bengal,Sadar Bazaar Police Station,police_station,24.4388,88.3645,733141
677b943d-7828-4146-9dbe-db090c179e46,Janawad,Rajasthan,Dadar Railway Transport Hub,transport_hub,25.2832,73.7745,313333
acf95cbc-185f-41f6-abd6-8eae56de4478,Mannam Nagar,Kerala,Connaught Place Commercial Complex,commercial,9.2841,76.929,689501
48334aae-dd4b-4559-927f-4011694a1d92,Jaisindh,Rajasthan,Saket District Court,court,25.8136,70.4343,344501
8e5036df-127c-4594-9192-f94d067db20e,Chippada,Andhra Pradesh,Bhiwandi Industrial Warehouse Zone,warehouse,17.8909,82.6924,531162
52af94bf-29a6-4158-b962-6a4fcd19d2be,Devanur,Karnataka,Taj Gateway Hotel,hotel,12.3244,75.8033,571219
cf211dcd-89bd-42b4-9672-5311955f96e7,Muninagar,West Bengal,Banjara Hills Heritage Restaurant,restaurant,23.141,87.135,722122
433d1091-50e0-46d0-b34d-21ea36046dae,Marma,Odisha,Akshardham Religious Complex,religious_site,19.3623,83.5138,765034
736c90c6-9a18-43b8-bb0f-6bcf33dc8dab,Dudhad,Maharashtra,Attari Border Area,border_area,19.8503,75.5783,431154
2ed4c69b-411d-4afd-bb03-e20234666fd9,Mamidivalasa,Andhra Pradesh,Jayanagar 4th Block Residential Area,residential,18.5333,83.7375,532123
8b290e9f-43ac-4762-b2a2-f30d65d03bed,Neendar,Rajasthan,Linking Road Commercial Strip,commercial,26.9805,75.7243,302013
8382482c-b106-46dc-83bd-d519ac2530f3,Dungri Pindarpar,Uttarakhand,Burrabazar Wholesale Market,market,30.016,79.5907,246481
3a90b419-d49b-432d-b67f-8fef620d5ecd,Dhamrancha,Maharashtra,Colaba Police Station,police_station,19.3301,80.0682,442709
d1739ddb-7365-4554-a76b-d261f099ae21,Deva,Andhra Pradesh,Majestic Bus Transport Hub,transport_hub,16.8946,81.4023,534123
f4943b36-f9dd-415b-832e-bfdfc44bfab0,Silwala Kalan,Rajasthan,Patiala House District Court,court,29.0409,74.5576,335525
3caa4f89-9dce-4bf1-8c9a-0c858356d4aa,Jalbera,Haryana,Chakan Cargo Warehouse Facility,warehouse,30.3133,76.775,134008
9c3ab627-7bf2-4906-a00a-aa7a9d1113bd,Khushalpura,Gujarat,Grand Residency Hotel,hotel,21.2623,73.0694,394650
12fd7c68-ddcd-4eb1-8122-5e012bed78f1,Govandi,Maharashtra,Park Street Dining Restaurant,restaurant,18.9808,72.8338,400088
d6f40bfd-4360-4e5a-b544-68d5bf70b311,Kakarla,Andhra Pradesh,Siddhivinayak Religious Shrine,religious_site,15.5236,79.7514,523253
b32c5e6f-8770-4d7f-b94e-fd0dadf72904,Ramnagar Shibpur,West Bengal,Raxaul Border Checkpost Area,border_area,22.03,88.2873,743374
bf0ceee0-aca6-4168-85a6-2ec3eb7b5261,Joura Khurd,Madhya Pradesh,Salt Lake City Residential Block,residential,26.3854,77.7557,476001
9d0acc1a-7cf8-43d2-b9dd-df559896f394,Parbatipur,Odisha,MG Road Commercial Plaza,commercial,21.4898,86.917,756166
577a7f7d-a1ab-4ae4-a4a4-967c0db47f84,Barbhita,Assam,KR Puram Market,market,26.1271,90.608,783101
c0975979-9043-4963-855f-ca856764a207,Mutharasikuppam,Tamil Nadu,Lal Bazaar Police Station,police_station,12.9862,79.0316,632106
86fefb20-41f1-4cf7-8888-b9afdb990b01,Masgaon,Uttar Pradesh,Kashmere Gate Interstate Transport Hub,transport_hub,25.6774,79.8814,210506
5e7265f2-e024-4948-ae97-9577296c20d5,Moran,Assam,Tis Hazari District Court,court,27.0073,94.82,785669
a684d76b-fc88-4771-ac63-cb6776a45e23,Devenampalayam,Tamil Nadu,Okhla Industrial Warehouse Area,warehouse,10.8274,77.1841,642120
d9656d90-576d-4a2f-92f6-d46ca668ee37,Maldan,Maharashtra,The Oberoi Grand Hotel,hotel,17.6661,74.1735,415112
fd043a74-90df-4cb0-8c21-56031623907b,Kota Kutchery,Rajasthan,Karim Heritage Restaurant,restaurant,24.9796,76.0327,324001
cca2418e-5650-42dc-add4-f55d74d47fd4,Shimoga Ambedkarnagar,Karnataka,Lotus Temple Religious Site,religious_site,14.0147,75.4016,577201
3589d79f-1eb4-48f8-9a21-e9aead62416a,Tithgam,Gujarat,Dawki Border Area,border_area,24.284,72.0332,385575
b0d541e6-03ce-4db7-be47-eba21bd01943,Kesramal,Odisha,Malabar Hill Residential Enclave,residential,22.0798,84.5106,770017
da97debf-a2c0-4f37-9708-76fe4aef4637,Harna,Bihar,Cyber City Commercial Park,commercial,26.3201,86.277,847404
5a8c6168-07ce-4d7b-a362-42040a53b054,Majhihara,Odisha,Manicktala Fish Market,market,20.09,85.5114,752103
d0184a09-161d-4442-9ae0-17c96fb4622e,Lundra,Chattisgarh,Cunningham Road Police Station,police_station,23.1237,83.4078,497101
fe52c460-73d2-4cee-9b9b-df1298a64904,Salma,West Bengal,Secunderabad Railway Transport Hub,transport_hub,23.5673,87.108,722143
70541888-79db-48a8-84ec-0f9f8ce6d7d8,Mandar Kalan,Punjab,High Court of Judicature,court,30.9077,75.1601,142043
256aab43-0c6d-401c-b922-b756b4f3c7f1,Kotaseetharampuram,Andhra Pradesh,Tondiarpet Cargo Warehouse,warehouse,18.5194,83.3633,535559
f8fb5476-9b84-42d2-adaa-52d8c313d7d2,Badapal,Odisha,Hyatt Regency Hotel,hotel,21.4898,86.917,756019
d22f0418-222a-43bb-97e9-b2ceea60e9f1,Ramnagar,West Bengal,Tunday Kababi Restaurant,restaurant,25.4155,87.8604,732201
99e9a460-ceb3-4609-9a0f-4dce99ada1b2,Bhiri,Uttarakhand,Velankanni Shrine Religious Site,religious_site,30.5303,79.0589,246419
f5286c50-0096-4347-8bcf-6a7390ccf886,Sour,Uttarakhand,Moreh Border Area,border_area,30.3471,78.2406,249145
5fe5dbf8-7a2a-48e8-9772-3cf1d29df5c4,Nayashi,Maharashtra,Anna Nagar Residential Sector,residential,17.2734,73.4573,415608
224509af-d2a1-4d77-88c6-cfedcfd3682c,Enamakkal,Kerala,Nariman Point Commercial District,commercial,10.5115,76.0936,680510
c059e218-b273-4941-8842-7fa64f52a475,Yellamalai,Tamil Nadu,Gandhi Bazaar Market,market,11.5338,76.5361,643228
a1ac6dda-cf2b-4f37-b3bf-4697fe4e7bff,Lasiyari,Uttarakhand,Esplanade Police Station,police_station,30.0941,79.3237,246424
c02d795c-a08a-4eac-b4c4-4fefaf879cf7,Artiyan Kallan,Rajasthan,Kempegowda Bus Transport Hub,transport_hub,26.7324,73.1533,342606
dd1fd215-3763-45b2-b28b-73a4e5330322,Satara,Maharashtra,City Civil Court Complex,court,17.6661,74.1735,415001
abc3dac6-1bb5-41f9-bb42-3e43194cf9ca,Chinnur,Telangana,Alipore Residential Enclave,residential,18.696,78.2131,503108
602d9768-51c6-48ac-b514-d39a38aa8cab,Naranpura Kampa,Gujarat,Bandra Kurla Complex Commercial Zone,commercial,23.8073,73.0353,383310
00a42346-d879-4b27-992c-2d6a762e66dd,Mailam,Tamil Nadu,Chandni Chowk Wholesale Market,market,12.1235,79.6266,604304
399368c8-c978-469c-be30-609d71bcffc7,Alas,Maharashtra,Cubbon Park Police Station,police_station,16.4704,74.1612,416104
45e803a1-d704-4e47-9f8a-a5fe1b39d690,Wangbal,Manipur,High Court Complex,court,24.5532,93.968,795138
75380c1f-4115-442a-9723-069166b18ee0,Jangle Agahi,Uttar Pradesh,Howrah Junction Transport Hub,transport_hub,26.6579,83.3614,273165
cc25d34d-0396-4913-b1c3-0766f4f66c68,Kalikrishnagar,Tripura,Bhiwandi Cargo Warehouse Depot,warehouse,23.3481,91.3204,799132
385fa6c3-4652-4cd3-9e88-aa4c1c315acd,Thummalapalle,Andhra Pradesh,The Leela Palace Hotel,hotel,14.7559,78.3225,516309
c49dcf9b-a287-4147-9eb8-e168df91c147,Angbrashu,Manipur,Mavalli Tiffin Room Restaurant,restaurant,24.5308,93.9716,795135
716fe4d7-9c39-405b-82f3-a7646ee323f6,Kadammanitta,Kerala,Golden Temple Religious Site,religious_site,9.2422,76.7424,689649
014215a7-d217-430a-8364-14c98610181e,Hadmatiya,Gujarat,Jaura Border Area,border_area,22.4342,70.4791,360110
9dda0b2e-ff57-4c9e-ac43-43e122f085c1,Malav,Uttar Pradesh,Vasant Kunj Residential Colony,residential,27.9805,77.7653,202165
fa611201-3cf8-479a-86a9-0a3dd9f725ff,Kotekere,Karnataka,Nehru Place Commercial Center,commercial,11.9343,76.6421,571109
79815ee3-1b5e-458f-bab4-9cfefbbc415d,Lamakhera,Uttarakhand,Johari Bazaar Market,market,28.9817,79.727,262405
b9753cbb-9cd4-451b-9705-22cc5bde2d04,Chargola Bazar,Assam,Cumballa Hill Police Station,police_station,24.8513,92.3148,788713
