relationship_id,source_entity_id,source_entity_type,target_entity_id,target_entity_type,relationship_type,timestamp,evidence_source,case_id,confidence,suspicious_indicator
de9d6f0f-0fd4-449a-a793-e9af53885477,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,003cbc5f-6bd1-45c8-802a-83208f9052bf,PERSON,called,2024-07-15T16:05:29Z,cdr_records,,0.06666666666666667,0
dcc3ff7c-0342-441b-8ad7-811e30cce0bd,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,02131cae-05b6-48f4-91ac-13a2087cf17b,PERSON,called,2024-05-07T07:38:44Z,cdr_records,,0.06666666666666667,0
c7551d63-787a-4db6-9e37-34ba0b9a7f1e,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,2024e16f-89ab-4f4a-a9d3-d876bf5f0041,PERSON,called,2023-09-21T20:39:16Z,cdr_records,,0.06666666666666667,0
f4923977-07b3-4ddc-9826-83a374a400c1,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,240d269c-b9ac-495a-b384-d6b037da25a3,PERSON,called,2023-09-27T12:23:25Z,cdr_records,,0.06666666666666667,0
dfa16a5f-10f5-4476-89f6-0746ce666343,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,28480630-a38b-4d39-b5d8-34d1a8e49e67,PERSON,called,2024-01-28T13:36:40Z,cdr_records,,0.06666666666666667,0
9a12b363-1a2b-4313-be0b-fff507f62a28,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,29e44cfd-7d35-4a04-ae90-6fdf73acc416,PERSON,called,2023-11-15T16:31:26Z,cdr_records,,0.06666666666666667,0
41e411a6-9952-401a-9bbb-f433a709e4e4,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,365d98c7-5be7-435e-bbae-6e9408ec99fc,PERSON,called,2025-04-17T19:57:02Z,cdr_records,,0.06666666666666667,0
084b5b02-480b-4d58-abfe-5a256ac053be,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,458167b1-5667-478d-a6bf-4f1e39407e0e,PERSON,called,2023-12-07T20:58:46Z,cdr_records,,0.06666666666666667,0
7ca90294-c628-4652-9c8d-89ae679f3e47,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,58403a85-3bb2-4384-b35a-06d05951268a,PERSON,called,2024-05-22T20:25:15Z,cdr_records,,0.06666666666666667,0
2a2d9c6f-644f-4ddd-a18e-e0f3da952829,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,5d2ae276-3079-4637-a6ae-1a9d24650025,PERSON,called,2025-03-20T21:49:32Z,cdr_records,,0.06666666666666667,0
4cd7ed6f-99a4-4117-8343-c92e31b0c1cb,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,61471165-3f7a-400f-8a83-b0804b56ec92,PERSON,called,2023-09-28T12:47:21Z,cdr_records,,0.06666666666666667,0
ebfad8e0-1f96-4433-b5c5-464d260e1c6c,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,900a275e-78e3-4da0-92b6-405e6baf54d4,PERSON,called,2024-04-01T12:39:32Z,cdr_records,,0.06666666666666667,0
5edc185c-0d8c-4649-8cce-9f5b5de3ccd7,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,91db5532-1569-4fd6-9b68-ea6d0864625e,PERSON,called,2025-02-18T13:48:49Z,cdr_records,,0.06666666666666667,0
d9f838e7-3d32-494f-900d-96d0caa1e4ed,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,9a88128b-a11e-4719-90d9-57dd6d1507f6,PERSON,called,2023-07-23T14:31:49Z,cdr_records,,0.06666666666666667,0
6d45401f-005c-4bbc-9edc-94f51b88be5b,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,a80dfb0e-0159-4ea9-8f7b-4baf7d7a1ea0,PERSON,called,2024-07-04T15:47:25Z,cdr_records,,0.06666666666666667,0
bf6061cf-f6dd-48fe-9707-649d174d730f,00389333-eb97-4b4e-9a86-50eecff7d14d,PERSON,af6f4a57-5b33-4b88-9395-f4b3c7e035af,PERSON,called,2025-02-22T21:06:15Z,cdr_records,,0.13333333333333333,0
