ground_truth_id,person_id,network_role,related_person_id,relationship_type,evidence_sources,confidence,case_id,event_id,notes
c3b9f261-0147-4bdc-8dc5-f2d6fd134751,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,00a12545-922e-4c12-8979-fcd4ce73b8ab,called,cdr_records,0.3333333333333333,f2f115ab-5b0b-4cdc-a136-b775845814d5,,Flagged as suspicious in graph_relationships (multi-source corroboration)
5f9af4b3-a065-4594-ba01-acad8d81192d,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,1d81b4ed-c0fc-463d-ac33-b790781668cd,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
4d9034ba-7d20-4a5f-9c21-caea658ceacd,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,24cdea93-60d7-43d6-9004-896d9f1a271a,called,cdr_records,0.13333333333333333,f2f115ab-5b0b-4cdc-a136-b775845814d5,,Single-source or low-frequency link; supporting evidence only
058e1d9c-96bc-476f-8ef5-c9711a8a0129,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,4bd924a0-4163-4b8e-8fe2-47caadf44a76,called,cdr_records,0.06666666666666667,04f26d44-0c08-4f75-a336-71b46b7a94f1,,Single-source or low-frequency link; supporting evidence only
95a681a5-2f9e-419d-862e-01d3d7cbb73b,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,4de490be-92c2-4542-a982-4a674c43b835,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
5e577def-74c7-4b4f-8fb1-49359288d950,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,4f5ce979-ecb2-4e53-b0e3-6c1a025dc4a2,called,cdr_records,0.06666666666666667,a691f6e4-9bec-4abd-88c2-2fea613fd19e,,Single-source or low-frequency link; supporting evidence only
26042404-37ec-43a5-a772-bc8cec0cc1b6,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,50873f12-f502-48f0-b7b9-1ca825fbb932,called,cdr_records,0.06666666666666667,7d104ee8-3694-4a75-ae8d-165f02f3074f,,Single-source or low-frequency link; supporting evidence only
eed8471e-8a06-493e-a944-923cdd1a131e,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,635e45b9-affe-4a6b-8d36-f3adf8ebf039,called,cdr_records,0.13333333333333333,ed3276a9-f584-49cf-81b2-430e73eff8e0,,Single-source or low-frequency link; supporting evidence only
16afc3ef-b1ec-4aae-8b84-d828779a2b98,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,6641b356-0f73-4184-9190-a96424cd43c5,called,cdr_records,0.06666666666666667,31b964e9-e0a0-4342-9d40-d7ea00c2e077,,Single-source or low-frequency link; supporting evidence only
9b6b1e6a-6389-4cef-bc45-010341bb38aa,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,66608c82-c95e-449d-8483-39e9876092a0,called,cdr_records,0.13333333333333333,ed3276a9-f584-49cf-81b2-430e73eff8e0,,Single-source or low-frequency link; supporting evidence only
2031cde9-4111-4cac-8497-6851046cd61a,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,94d607d7-3492-48ab-a373-f24cb1390211,called,cdr_records,0.5333333333333333,f2f115ab-5b0b-4cdc-a136-b775845814d5,,Flagged as suspicious in graph_relationships (multi-source corroboration)
52ff642e-5394-4186-ae46-dd2959d6cc36,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,a1986a86-ee18-4b99-bde2-9f10ab7ccd8e,called,cdr_records,0.06666666666666667,419255c5-c457-4c9f-bcda-0a7c3d99e2ba,,Single-source or low-frequency link; supporting evidence only
b0589714-d688-4233-88d8-2352f4394ce4,00a12545-922e-4c12-8979-fcd4ce73b8ab,cdr_operative,df8f9173-d8b6-46df-ad3c-2ebcbba09b2e,called,cdr_records,0.06666666666666667,b8d3ad45-c8d8-4136-823b-dc56797bbe6a,,Single-source or low-frequency link; supporting evidence only
416f1f49-eabf-465c-b2fb-0e17ae558739,02d32b3c-04cd-4db2-87d1-eaea9c739f75,financial_mule,29e44cfd-7d35-4a04-ae90-6fdf73acc416,called+financial_transfer,"cdr_records,financial_transactions",0.625,,,Flagged as suspicious in graph_relationships (multi-source corroboration)
6862472e-bcc4-42f9-ae9b-628de07bb4b4,02d32b3c-04cd-4db2-87d1-eaea9c739f75,financial_mule,64c8c8c4-3eca-40a8-a280-fce21bb2974a,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
c2882e03-5d27-4ad9-ab74-a773e8dd7b25,02d32b3c-04cd-4db2-87d1-eaea9c739f75,financial_mule,fe23bf1a-8c7f-4ce5-bf1d-7b53804dd17d,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
33d42043-af70-43ef-be72-ce3003fa7c9e,0337a9aa-5b4f-47e5-8f62-6328af20b19b,financial_mule,64c8c8c4-3eca-40a8-a280-fce21bb2974a,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
14290e0f-7bb3-464b-9a10-f93bec7b1315,036484c0-7073-4f7d-96f0-9d0dda8c0830,cdr_peripheral,1d81b4ed-c0fc-463d-ac33-b790781668cd,called,cdr_records,0.6666666666666666,f2f115ab-5b0b-4cdc-a136-b775845814d5,,Flagged as suspicious in graph_relationships (multi-source corroboration)
085639cc-b2e0-4877-94ea-fd424864d336,036484c0-7073-4f7d-96f0-9d0dda8c0830,cdr_peripheral,1f65d744-3aba-46f0-a383-91348dbc4a37,called,cdr_records,0.06666666666666667,97dc9d85-ecad-4d07-91c0-9c19bd0144ba,,Single-source or low-frequency link; supporting evidence only
0aa4b4e2-4bc6-485f-8656-72bf08309717,036484c0-7073-4f7d-96f0-9d0dda8c0830,cdr_peripheral,2090861b-d686-40ef-bb36-c556e162d4dc,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
9d237153-0daf-4a26-bf8e-7da4897ad041,036484c0-7073-4f7d-96f0-9d0dda8c0830,cdr_peripheral,58403a85-3bb2-4384-b35a-06d05951268a,called,cdr_records,0.06666666666666667,ccaf96a0-e148-4313-9d29-ab057a8be0dd,,Single-source or low-frequency link; supporting evidence only
6817aba2-7f03-4926-aa20-a7dcc7ec3030,036484c0-7073-4f7d-96f0-9d0dda8c0830,cdr_peripheral,735b7692-768a-477f-9084-61285d2d750f,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
30bca78e-114a-4835-969c-9874e3aa303c,036484c0-7073-4f7d-96f0-9d0dda8c0830,cdr_peripheral,80d1a12f-12b3-4bd3-abd1-b154fc01378c,called,cdr_records,0.06666666666666667,a691f6e4-9bec-4abd-88c2-2fea613fd19e,,Single-source or low-frequency link; supporting evidence only
b74fdb34-bd2b-47a9-a5df-bda700ad29cf,036484c0-7073-4f7d-96f0-9d0dda8c0830,cdr_peripheral,fe23bf1a-8c7f-4ce5-bf1d-7b53804dd17d,called,cdr_records,0.06666666666666667,7d104ee8-3694-4a75-ae8d-165f02f3074f,,Single-source or low-frequency link; supporting evidence only
69dd778c-3649-4576-b367-df8484fca3f9,04d36625-b5aa-4286-a543-bf880a885eb0,financial_mule,7a8dcb3d-2353-4f1c-8481-583a228493ce,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
3ba55317-34dd-4ad3-b056-850d0fd94bd1,04d36625-b5aa-4286-a543-bf880a885eb0,financial_mule,acd25cbb-36f7-421c-b26e-f6d029411c71,called+financial_transfer,"cdr_records,financial_transactions",0.125,,,Single-source or low-frequency link; supporting evidence only
a3f8a1ab-a1b8-4d1a-95de-934c6dbd6e57,04d36625-b5aa-4286-a543-bf880a885eb0,financial_mule,b681e7e8-fb53-41e2-a5e0-137f14ae1cb4,called,cdr_records,0.13333333333333333,,,Single-source or low-frequency link; supporting evidence only
8fd509e0-9d0f-403e-a869-2c08ca781dd4,04d36625-b5aa-4286-a543-bf880a885eb0,financial_mule,ed7911e6-3465-4f1d-b781-e1f0f3b04c18,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
3e1a7734-cd46-4afb-b1b2-c4aa9b195e5f,04d36625-b5aa-4286-a543-bf880a885eb0,financial_mule,fa00070c-1deb-4b17-9387-7bd434ff75af,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
901a872d-0622-440a-abe9-e31a10853eb2,0e452102-4aa9-4290-9b86-577e41a8b3d4,financial_peripheral,470bc6dc-44e7-4c45-bf4a-da28c0844bdf,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
c996341b-a84a-4389-81ad-0f044b9537ee,0e452102-4aa9-4290-9b86-577e41a8b3d4,financial_peripheral,a4df7d87-34bc-47a4-b7ee-ea24387b8f86,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
b10da741-5f8e-4f89-b2c2-382172250dc8,0e452102-4aa9-4290-9b86-577e41a8b3d4,financial_peripheral,d038f78a-ac24-4255-9b01-1d1541ce8012,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
5d714eae-17f8-4302-9b43-8a365449ed77,0e452102-4aa9-4290-9b86-577e41a8b3d4,financial_peripheral,df8f9173-d8b6-46df-ad3c-2ebcbba09b2e,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
4a1ba825-e4ad-4667-890d-9e7d50311eb8,0ead0884-55ed-4e0c-931f-0414d70f5921,financial_peripheral,4de490be-92c2-4542-a982-4a674c43b835,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
aa88604a-c9a5-4753-9930-ddf86ca975d3,0ead0884-55ed-4e0c-931f-0414d70f5921,financial_peripheral,95b21a34-896e-4a99-ab1f-18b495bd8672,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
e21ebf36-9262-4a67-a370-f65a2405bd2e,0ead0884-55ed-4e0c-931f-0414d70f5921,financial_peripheral,97c19247-87ac-486f-ac15-862d7a702684,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
93694d1b-609e-402d-87e5-ba9799108bef,1625d745-435b-464f-8b41-7bb07e32d54f,cdr_operative,1625d745-435b-464f-8b41-7bb07e32d54f,called,cdr_records,0.13333333333333333,32e4d776-35df-4688-9259-7b74dd290ddc,,Single-source or low-frequency link; supporting evidence only
6849d884-b9f4-4af9-94dc-de267448092d,1625d745-435b-464f-8b41-7bb07e32d54f,cdr_operative,3643d4ea-27fb-4c10-8358-963c6f1a841f,called,cdr_records,0.06666666666666667,04f26d44-0c08-4f75-a336-71b46b7a94f1,,Single-source or low-frequency link; supporting evidence only
524134a6-ab24-474f-9cb1-440f314ae246,1625d745-435b-464f-8b41-7bb07e32d54f,cdr_operative,3c7a665a-29ef-4c51-937c-9238747d8c3f,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
3eb35061-70d9-462c-a8cb-902aa76dc127,1625d745-435b-464f-8b41-7bb07e32d54f,cdr_operative,4604c0fb-6f50-45d8-9c76-8c666a59a025,called,cdr_records,0.06666666666666667,a7849323-bce8-46b2-a835-75ac4446df2d,,Single-source or low-frequency link; supporting evidence only
dbb5beaf-cdb4-40a1-b390-93d332d40076,1625d745-435b-464f-8b41-7bb07e32d54f,cdr_operative,7d6f20e1-961e-46de-8504-3ea2f6d7692a,called,cdr_records,0.06666666666666667,965473d2-140c-4f93-a2ec-6146894edced,,Single-source or low-frequency link; supporting evidence only
705f3206-fa46-4f67-90b2-ac54267bc7a2,1625d745-435b-464f-8b41-7bb07e32d54f,cdr_operative,9b8c97f6-e515-44fa-9b93-a3cbf7295baa,called,cdr_records,0.06666666666666667,a691f6e4-9bec-4abd-88c2-2fea613fd19e,,Single-source or low-frequency link; supporting evidence only
c7e0e905-48d5-4d8f-bcb1-6918478c2b0e,1625d745-435b-464f-8b41-7bb07e32d54f,cdr_operative,c529d9ef-2cd1-45c2-9e04-a55827105e21,called,cdr_records,0.3333333333333333,32e4d776-35df-4688-9259-7b74dd290ddc,,Flagged as suspicious in graph_relationships (multi-source corroboration)
3eaaa2f5-a526-45b1-b041-b725f80a9d1d,16279b5f-489c-4c08-842d-99d95e761f7a,cdr_peripheral,1f65d744-3aba-46f0-a383-91348dbc4a37,called,cdr_records,0.06666666666666667,32e4d776-35df-4688-9259-7b74dd290ddc,,Single-source or low-frequency link; supporting evidence only
25ccc8e9-121a-4af7-8219-78141b0539eb,16279b5f-489c-4c08-842d-99d95e761f7a,cdr_peripheral,24cdea93-60d7-43d6-9004-896d9f1a271a,called,cdr_records,0.06666666666666667,,,Single-source or low-frequency link; supporting evidence only
2b4fc924-725e-47fe-a49f-73ce66012025,16279b5f-489c-4c08-842d-99d95e761f7a,cdr_peripheral,38d66af9-6e50-457c-8c19-f962a9c6b435,called,cdr_records,0.06666666666666667,9148906d-82d0-44c2-9ce4-224479a19d29,,Single-source or low-frequency link; supporting evidence only
c2ef2dfc-885c-462a-b36c-a16faf3083e0,16279b5f-489c-4c08-842d-99d95e761f7a,cdr_peripheral,43d397f3-6279-4e7b-b1e1-d2dd053d82d2,called,cdr_records,0.06666666666666667,ccaf96a0-e148-4313-9d29-ab057a8be0dd,,Single-source or low-frequency link; supporting evidence only
b934bb91-7c2e-47a1-bf7b-8d3768cd5922,16279b5f-489c-4c08-842d-99d95e761f7a,cdr_peripheral,4604c0fb-6f50-45d8-9c76-8c666a59a025,called,cdr_records,0.13333333333333333,ccaf96a0-e148-4313-9d29-ab057a8be0dd,,Single-source or low-frequency link; supporting evidence only
